CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM0994,Valkenburg aan de Geul,Limburg,16668,461,35,16,52,2,3,5,13,1,74,160,82,24,77,7,0,35,4,92,4,26,6
GM0858,Valkenswaard,North Brabant,30353,557,67,20,116,1,1,4,44,11,222,67,28,28,42,23,2,67,5,150,8,17,15
GM0047,Veendam,Groningen,27795,367,44,26,182,1,0,4,72,8,74,40,5,29,17,24,1,107,3,164,4,5,16
GM0345,Veenendaal,Utrecht,63207,3222,170,99,219,4,5,18,96,13,440,201,37,71,92,31,1,105,18,288,10,42,24
GM0717,Veere,Zeeland,21882,165,49,19,52,0,1,6,17,5,98,37,4,24,23,3,2,33,2,90,1,3,10
GM0860,Veghel,North Brabant,37550,480,61,35,132,2,1,5,45,4,167,150,21,43,53,31,3,78,9,170,6,16,15
GM0861,Veldhoven,North Brabant,44136,1383,92,45,124,6,6,9,41,5,183,215,23,37,46,30,14,79,4,200,8,14,8
GM0453,Velsen,North Holland,67231,1503,126,49,312,5,2,6,105,16,285,164,38,93,86,27,12,181,26,427,22,31,21
GM0983,Venlo,Limburg,100381,800,266,123,678,15,16,31,268,42,911,319,98,195,281,135,32,377,33,725,42,326,39
GM0984,Venray,Limburg,43120,263,67,24,164,7,0,7,72,17,402,161,31,54,64,19,4,83,9,180,5,29,20
GM0620,Vianen,Utrecht,19573,499,24,14,70,0,1,2,29,2,59,113,17,19,8,11,3,38,3,94,2,4,5
GM0622,Vlaardingen,South Holland,71059,3005,193,105,411,27,15,14,158,44,752,444,54,234,173,39,2,231,22,568,39,61,50
GM0048,Vlagtwedde,Groningen,15899,97,37,19,112,2,2,2,60,2,36,26,2,22,16,8,7,47,5,98,5,6,19
GM0096,Vlieland,Friesland,1097,31,2,0,2,0,0,1,1,0,2,0,1,2,0,1,2,1,0,12,1,2,0
GM0718,Vlissingen,Zeeland,44450,1302,36,17,230,8,2,22,84,20,321,78,21,60,36,46,9,139,7,331,18,19,28
GM0986,Voerendaal,Limburg,12447,402,25,18,26,1,0,0,13,2,35,53,19,16,40,5,1,13,0,40,2,2,1
GM0626,Voorschoten,South Holland,24941,2179,48,21,64,5,1,1,25,1,98,102,14,22,23,9,5,38,1,101,2,5,4
GM0285,Voorst,Gelderland,23801,193,46,25,44,0,0,0,15,5,129,41,5,37,44,43,3,28,1,62,1,11,24
GM0865,Vught,North Brabant,25626,770,42,7,82,3,2,2,34,10,116,139,14,23,27,10,1,47,1,106,1,10,15
GM0866,Waalre,North Brabant,16804,737,35,18,29,2,1,0,17,1,74,67,24,24,10,9,3,10,2,63,4,4,5
GM0867,Waalwijk,North Brabant,46515,719,75,35,216,4,1,8,89,7,133,306,43,75,21,36,4,112,15,236,12,36,18
GM0627,Waddinxveen,South Holland,25520,906,130,82,67,2,2,6,26,1,118,94,15,41,22,7,3,36,5,130,4,10,3
GM0289,Wageningen,Gelderland,37511,1215,83,50,110,3,0,15,37,7,262,72,10,39,23,6,4,66,7,175,4,21,14
GM0629,Wassenaar,South Holland,25786,506,70,24,81,1,0,4,32,4,56,89,7,24,15,9,10,46,3,96,2,18,13
GM0852,Waterland,North Holland,17154,326,26,10,35,0,0,0,12,0,65,35,1,11,7,2,0,23,0,106,1,6,2
GM0988,Weert,Limburg,48727,466,99,27,217,2,4,11,87,11,254,145,35,62,45,46,4,124,6,241,16,73,21
GM0457,Weesp,North Holland,18231,879,64,38,61,3,1,2,17,6,60,67,17,55,9,5,0,43,1,96,3,12,2
GM0870,Werkendam,North Brabant,26400,253,52,13,51,0,0,3,21,7,42,100,11,18,29,21,0,30,0,94,6,2,8
GM0668,West Maas en Waal,Gelderland,18391,237,33,8,31,0,2,0,11,3,34,29,3,16,19,7,0,20,0,59,1,2,2
GM1701,Westerveld,Drenthe,18902,69,31,15,37,0,0,2,17,0,16,15,3,24,18,3,0,20,0,49,0,0,6
GM0293,Westervoort,Gelderland,15147,2168,26,17,49,1,1,2,18,1,59,18,11,7,5,9,3,30,1,82,0,2,6
GM1783,Westland,South Holland,103335,1282,253,149,293,5,0,15,109,12,434,197,40,172,75,35,7,173,11,732,17,33,24
